Entry Time,Expiry Time,Asset,Direction,Timeframe,Result,Stake,Payout %,P/L,Confidence,Provider
2026-04-28 16:31:00,2026-04-28 16:46:00,GBP/JPY,SELL,M15,loss,50.00,0.76,-50.00,0.84,QuantEdge Bot
2026-04-28 18:34:00,2026-04-28 18:35:00,GBP/USD OTC,SELL,M1,loss,10.00,0.86,-10.00,0.60,Manual — own analysis
2026-04-28 19:05:00,2026-04-28 19:20:00,AUD/USD,BUY,M15,win,10.00,0.78,7.80,0.80,QuantEdge Bot
2026-04-28 19:54:00,2026-04-28 19:59:00,BTC/USD,SELL,M5,win,50.00,0.69,34.50,0.70,Daily Binary Club
2026-04-29 06:05:00,2026-04-29 06:20:00,GBP/JPY,SELL,M15,loss,50.00,0.76,-50.00,0.84,AlphaPips Room
2026-04-29 06:05:00,2026-04-29 06:08:00,AUD/USD,BUY,M3,loss,50.00,0.80,-50.00,0.57,Manual — own analysis
2026-04-29 06:12:00,2026-04-29 06:17:00,EUR/USD OTC,BUY,M5,win,10.00,0.87,8.70,0.58,AlphaPips Room
2026-04-29 09:09:00,2026-04-29 09:14:00,EUR/JPY,BUY,M5,win,20.00,0.82,16.40,0.56,QuantEdge Bot
2026-04-29 12:20:00,2026-04-29 12:25:00,EUR/USD,BUY,M5,win,50.00,0.80,40.00,0.74,QuantEdge Bot
2026-04-29 15:01:00,2026-04-29 15:06:00,USD/CAD,BUY,M5,draw,25.00,0.77,0.00,0.92,AlphaPips Room
2026-04-29 16:25:00,2026-04-29 16:30:00,EUR/JPY,BUY,M5,loss,20.00,0.81,-20.00,0.72,Manual — own analysis
2026-04-29 16:31:00,2026-04-29 16:36:00,EUR/JPY,BUY,M5,win,5.00,0.80,4.00,0.66,TelegramVIPSignals
2026-04-29 17:21:00,2026-04-29 17:36:00,GBP/JPY,SELL,M15,win,20.00,0.80,16.00,0.70,QuantEdge Bot
2026-04-29 19:35:00,2026-04-29 19:38:00,EUR/USD,BUY,M3,loss,25.00,0.79,-25.00,0.70,Daily Binary Club
2026-04-30 06:40:00,2026-04-30 06:55:00,USD/CAD,BUY,M15,win,25.00,0.81,20.25,0.66,QuantEdge Bot
2026-04-30 08:16:00,2026-04-30 08:17:00,EUR/USD OTC,SELL,M1,draw,50.00,0.88,0.00,0.81,AlphaPips Room
2026-04-30 13:32:00,2026-04-30 13:33:00,GBP/USD,SELL,M1,win,25.00,0.82,20.50,0.82,QuantEdge Bot
2026-04-30 17:25:00,2026-04-30 17:26:00,USD/CAD,SELL,M1,loss,50.00,0.78,-50.00,0.66,AlphaPips Room
2026-04-30 19:55:00,2026-04-30 20:25:00,GBP/JPY,SELL,M30,loss,5.00,0.76,-5.00,0.60,Daily Binary Club
2026-05-01 06:24:00,2026-05-01 06:29:00,USD/CAD,SELL,M5,win,5.00,0.78,3.90,0.87,QuantEdge Bot
2026-05-01 10:14:00,2026-05-01 10:15:00,GBP/USD OTC,BUY,M1,win,50.00,0.82,41.00,0.76,Manual — own analysis
2026-05-01 10:56:00,2026-05-01 11:01:00,GBP/USD,BUY,M5,loss,10.00,0.80,-10.00,0.68,Manual — own analysis
2026-05-01 14:12:00,2026-05-01 15:12:00,GBP/USD,BUY,H1,loss,20.00,0.79,-20.00,0.69,AlphaPips Room
2026-05-02 14:34:00,2026-05-02 14:49:00,USD/JPY,BUY,M15,win,20.00,0.79,15.80,0.64,AlphaPips Room
2026-05-03 16:06:00,2026-05-03 16:09:00,USD/JPY,BUY,M3,win,25.00,0.80,20.00,0.88,QuantEdge Bot
2026-05-04 06:31:00,2026-05-04 06:32:00,GBP/USD,SELL,M1,loss,10.00,0.78,-10.00,0.79,Daily Binary Club
2026-05-04 09:21:00,2026-05-04 09:36:00,USD/JPY,SELL,M15,win,10.00,0.79,7.90,0.70,AlphaPips Room
2026-05-04 10:33:00,2026-05-04 10:34:00,BTC/USD,BUY,M1,win,5.00,0.67,3.35,0.67,Daily Binary Club
2026-05-04 13:57:00,2026-05-04 14:02:00,EUR/USD,SELL,M5,win,50.00,0.81,40.50,0.90,QuantEdge Bot
2026-05-04 15:53:00,2026-05-04 15:58:00,EUR/USD,SELL,M5,loss,5.00,0.79,-5.00,0.69,TelegramVIPSignals
,,EUR/USD,BUY,M5,win,10.00,0.80,8.00,0.66,QuantEdge Bot
2026-05-04 16:22:00,2026-05-04 16:27:00,EUR/USD OTC,BUY,M5,win,5.00,0.88,4.40,0.60,Daily Binary Club
2026-05-04 18:07:00,2026-05-04 18:12:00,BTC/USD,SELL,M5,loss,25.00,0.68,-25.00,0.56,Daily Binary Club
2026-05-04 18:22:00,2026-05-04 18:23:00,USD/JPY,BUY,M1,win,20.00,0.82,16.40,0.66,Daily Binary Club
2026-05-04 19:38:00,2026-05-04 19:41:00,USD/CAD,BUY,M3,win,10.00,0.80,8.00,0.66,AlphaPips Room
2026-05-05 06:04:00,2026-05-05 06:19:00,GBP/JPY,SELL,M15,loss,20.00,0.75,-20.00,0.90,Manual — own analysis
2026-05-05 06:40:00,2026-05-05 06:43:00,BTC/USD,BUY,M3,win,50.00,0.67,33.50,0.78,Daily Binary Club
2026-05-05 06:43:00,2026-05-05 06:48:00,GBP/USD,BUY,M5,loss,50.00,0.81,-50.00,0.88,QuantEdge Bot
2026-05-05 14:11:00,2026-05-05 14:14:00,AUD/USD,SELL,M3,loss,5.00,0.81,-5.00,0.57,QuantEdge Bot
2026-05-05 15:24:00,2026-05-05 15:29:00,BTC/USD,BUY,M5,win,10.00,0.71,7.10,0.73,QuantEdge Bot
2026-05-05 15:42:00,2026-05-05 15:43:00,EUR/USD,SELL,M1,win,50.00,0.81,40.50,0.66,AlphaPips Room
2026-05-05 16:00:00,2026-05-05 16:15:00,GBP/JPY,SELL,M15,win,50.00,0.76,38.00,0.59,QuantEdge Bot
2026-05-05 16:01:00,2026-05-05 16:16:00,EUR/USD,SELL,M15,win,50.00,0.79,39.50,0.78,AlphaPips Room
2026-05-05 17:57:00,2026-05-05 17:58:00,GBP/USD,BUY,M1,loss,50.00,0.78,-50.00,0.72,Daily Binary Club
2026-05-05 18:13:00,2026-05-05 18:16:00,USD/JPY,SELL,M3,win,10.00,0.78,7.80,0.74,QuantEdge Bot
2026-05-05 18:14:00,2026-05-05 18:19:00,GBP/USD OTC,BUY,M5,loss,5.00,0.87,-5.00,0.87,Manual — own analysis
2026-05-05 19:06:00,2026-05-05 19:11:00,EUR/JPY,SELL,M5,win,10.00,0.77,7.70,0.62,QuantEdge Bot
2026-05-05 19:06:00,2026-05-05 19:11:00,GBP/USD,SELL,M5,loss,10.00,0.79,-10.00,0.61,AlphaPips Room
2026-05-06 09:53:00,2026-05-06 10:08:00,GBP/JPY,BUY,M15,win,25.00,0.77,19.25,0.89,Daily Binary Club
2026-05-06 15:16:00,2026-05-06 15:17:00,AUD/USD,BUY,M1,win,5.00,0.77,3.85,0.82,QuantEdge Bot
2026-05-06 17:06:00,2026-05-06 17:11:00,USD/CAD,SELL,M5,win,5.00,0.77,3.85,0.70,QuantEdge Bot
2026-05-06 17:18:00,2026-05-06 17:19:00,USD/JPY,BUY,M1,loss,10.00,0.81,-10.00,0.84,AlphaPips Room
2026-05-06 17:59:00,2026-05-06 18:00:00,EUR/USD,BUY,M1,loss,10.00,0.85,-10.00,0.74,Manual — own analysis
2026-05-06 19:41:00,2026-05-06 19:42:00,AUD/USD,SELL,M1,win,10.00,0.80,8.00,0.77,Daily Binary Club
2026-05-07 07:55:00,2026-05-07 08:00:00,USD/JPY,SELL,M5,loss,25.00,0.80,-25.00,0.73,QuantEdge Bot
2026-05-07 09:33:00,2026-05-07 09:34:00,EUR/USD,SELL,M1,win,10.00,0.82,8.20,0.84,Manual — own analysis
2026-05-07 10:22:00,2026-05-07 10:37:00,GBP/USD OTC,BUY,M15,loss,5.00,0.83,-5.00,0.92,Daily Binary Club
2026-05-07 10:39:00,2026-05-07 10:44:00,EUR/JPY,BUY,M5,loss,10.00,0.77,-10.00,0.75,TelegramVIPSignals
2026-05-07 10:43:00,2026-05-07 10:44:00,EUR/USD,BUY,M1,loss,50.00,0.84,-50.00,0.74,QuantEdge Bot
2026-05-07 12:12:00,2026-05-07 12:27:00,AUD/USD,BUY,M15,loss,10.00,0.80,-10.00,0.69,Manual — own analysis
2026-05-07 13:29:00,2026-05-07 13:59:00,EUR/USD OTC,BUY,M30,loss,10.00,0.83,-10.00,0.80,Daily Binary Club
2026-05-07 16:20:00,2026-05-07 16:25:00,USD/JPY,BUY,M5,win,50.00,0.82,41.00,0.81,Manual — own analysis
2026-05-07 18:09:00,2026-05-07 18:14:00,GBP/JPY,BUY,M5,loss,5.00,0.77,-5.00,0.92,TelegramVIPSignals
2026-05-07 19:12:00,2026-05-07 19:17:00,GBP/USD,BUY,M5,win,20.00,0.80,16.00,0.86,Manual — own analysis
2026-05-08 08:39:00,2026-05-08 08:54:00,GBP/USD,BUY,M15,loss,50.00,0.78,-50.00,0.88,QuantEdge Bot
2026-05-08 10:01:00,2026-05-08 10:06:00,EUR/USD,BUY,M5,win,10.00,0.84,8.40,0.94,QuantEdge Bot
2026-05-08 11:28:00,2026-05-08 11:33:00,EUR/USD,SELL,M5,loss,20.00,0.79,-20.00,0.79,Daily Binary Club
2026-05-08 11:39:00,2026-05-08 11:42:00,EUR/JPY,SELL,M3,loss,20.00,0.79,-20.00,0.93,Daily Binary Club
2026-05-08 14:11:00,2026-05-08 14:14:00,USD/CAD,SELL,M3,win,25.00,0.82,20.50,0.80,AlphaPips Room
2026-05-08 14:46:00,2026-05-08 15:01:00,USD/JPY,SELL,M15,win,20.00,0.79,15.80,0.91,QuantEdge Bot
2026-05-08 15:54:00,2026-05-08 15:59:00,EUR/USD,BUY,M5,win,25.00,0.83,20.75,0.86,Manual — own analysis
2026-05-08 16:19:00,2026-05-08 16:34:00,BTC/USD,SELL,M15,loss,10.00,0.73,-10.00,0.89,Manual — own analysis
2026-05-08 18:08:00,2026-05-08 18:13:00,EUR/USD,SELL,M5,win,10.00,0.80,8.00,0.60,AlphaPips Room
2026-05-08 18:35:00,2026-05-08 18:38:00,GBP/JPY,BUY,M3,loss,50.00,0.78,-50.00,0.71,AlphaPips Room
2026-05-09 09:01:00,2026-05-09 09:31:00,EUR/USD,SELL,M30,win,10.00,0.81,8.10,0.81,Daily Binary Club
2026-05-09 13:21:00,2026-05-09 13:24:00,AUD/USD,BUY,M3,win,20.00,0.77,15.40,0.64,Daily Binary Club
2026-05-09 15:05:00,2026-05-09 15:08:00,USD/CAD,SELL,M3,win,10.00,0.78,7.80,0.65,AlphaPips Room
2026-05-10 09:47:00,2026-05-10 09:48:00,EUR/JPY,SELL,M1,win,10.00,0.76,7.60,0.66,QuantEdge Bot
2026-05-11 07:29:00,2026-05-11 07:32:00,AUD/USD,SELL,M3,win,20.00,0.79,15.80,0.72,QuantEdge Bot
2026-05-11 07:30:00,2026-05-11 07:33:00,EUR/USD,BUY,M3,loss,5.00,0.85,-5.00,0.60,TelegramVIPSignals
2026-05-11 09:39:00,2026-05-11 09:54:00,GBP/JPY,SELL,M15,win,20.00,0.75,15.00,0.60,TelegramVIPSignals
2026-05-11 10:43:00,2026-05-11 10:44:00,GBP/USD OTC,SELL,M1,win,10.00,0.84,8.40,0.63,AlphaPips Room
2026-05-11 11:32:00,2026-05-11 11:33:00,EUR/JPY,SELL,M1,win,50.00,0.81,40.50,0.70,Manual — own analysis
2026-05-11 12:06:00,2026-05-11 12:11:00,GBP/USD,SELL,M5,win,20.00,0.78,15.60,0.78,Manual — own analysis
2026-05-11 14:30:00,2026-05-11 14:45:00,EUR/USD OTC,BUY,M15,win,25.00,0.87,21.75,0.77,QuantEdge Bot
2026-05-11 14:35:00,2026-05-11 14:36:00,BTC/USD,BUY,M1,loss,5.00,0.69,-5.00,0.60,AlphaPips Room
2026-05-11 14:52:00,2026-05-11 15:07:00,GBP/USD OTC,SELL,M15,win,20.00,0.86,17.20,0.58,QuantEdge Bot
2026-05-11 17:49:00,2026-05-11 17:52:00,AUD/USD,BUY,M3,loss,10.00,0.76,-10.00,0.75,Manual — own analysis
2026-05-11 18:48:00,2026-05-11 18:49:00,EUR/USD,SELL,M1,win,10.00,0.82,8.20,0.81,QuantEdge Bot
2026-05-11 19:35:00,2026-05-11 19:36:00,GBP/USD OTC,SELL,M1,loss,20.00,0.84,-20.00,0.89,QuantEdge Bot
2026-05-11 19:43:00,2026-05-11 19:58:00,EUR/USD OTC,SELL,M15,loss,10.00,0.84,-10.00,0.60,Daily Binary Club
2026-05-12 07:26:00,2026-05-12 07:31:00,AUD/USD,BUY,M5,loss,10.00,0.81,-10.00,0.93,Manual — own analysis
2026-05-12 07:58:00,2026-05-12 08:01:00,USD/CAD,SELL,M3,win,10.00,0.81,8.10,0.62,Manual — own analysis
2026-05-12 08:27:00,2026-05-12 08:32:00,EUR/USD OTC,BUY,M5,loss,25.00,0.82,-25.00,0.63,AlphaPips Room
2026-05-12 10:22:00,2026-05-12 10:52:00,USD/JPY,SELL,M30,loss,10.00,0.78,-10.00,0.87,Manual — own analysis
2026-05-12 12:28:00,2026-05-12 12:29:00,XAU/USD,SELL,M1,win,20.00,0.76,15.20,0.93,Manual — own analysis
2026-05-12 12:37:00,2026-05-12 12:42:00,GBP/USD OTC,BUY,M5,loss,20.00,0.85,-20.00,0.77,QuantEdge Bot
2026-05-12 15:27:00,2026-05-12 15:28:00,EUR/USD,BUY,M1,loss,10.00,0.82,-10.00,0.76,AlphaPips Room
2026-05-12 16:14:00,2026-05-12 16:17:00,USD/JPY,BUY,M3,win,20.00,0.79,15.80,0.94,Daily Binary Club
2026-05-12 17:00:00,2026-05-12 17:01:00,GBP/USD,SELL,M1,win,20.00,0.83,16.60,0.65,AlphaPips Room
2026-05-12 18:23:00,2026-05-12 18:24:00,USD/CAD,SELL,M1,win,10.00,0.78,7.80,0.79,Daily Binary Club
2026-05-12 18:46:00,2026-05-12 19:01:00,BTC/USD,SELL,M15,win,5.00,0.69,3.45,0.62,QuantEdge Bot
2026-05-13 07:16:00,2026-05-13 07:17:00,USD/CAD,BUY,M1,win,10.00,0.80,8.00,0.72,QuantEdge Bot
2026-05-13 09:12:00,2026-05-13 09:42:00,XAU/USD,SELL,M30,win,25.00,0.78,19.50,0.62,Manual — own analysis
2026-05-13 12:15:00,2026-05-13 12:16:00,GBP/USD,SELL,M1,loss,25.00,0.78,-25.00,0.65,Manual — own analysis
2026-05-13 15:44:00,2026-05-13 15:45:00,GBP/USD,SELL,M1,win,5.00,0.82,4.10,0.87,Manual — own analysis
2026-05-14 07:49:00,2026-05-14 07:50:00,EUR/JPY,BUY,M1,win,5.00,0.82,4.10,0.95,AlphaPips Room
2026-05-14 09:34:00,2026-05-14 09:49:00,GBP/USD,BUY,M15,loss,25.00,0.81,-25.00,0.69,Daily Binary Club
2026-05-14 14:26:00,2026-05-14 14:41:00,EUR/JPY,SELL,M15,loss,20.00,0.79,-20.00,0.91,QuantEdge Bot
2026-05-14 14:41:00,2026-05-14 14:46:00,EUR/JPY,SELL,M5,loss,50.00,0.81,-50.00,0.94,Daily Binary Club
2026-05-14 16:03:00,2026-05-14 16:18:00,EUR/USD,SELL,M15,loss,10.00,0.82,-10.00,0.77,TelegramVIPSignals
2026-05-14 19:56:00,2026-05-14 20:26:00,EUR/JPY,BUY,M30,loss,10.00,0.82,-10.00,0.93,Manual — own analysis
2026-05-15 06:29:00,2026-05-15 06:32:00,EUR/USD,BUY,M3,win,10.00,0.82,8.20,0.76,AlphaPips Room
2026-05-15 06:32:00,2026-05-15 07:02:00,BTC/USD,BUY,M30,win,10.00,0.69,6.90,0.71,AlphaPips Room
2026-05-15 08:18:00,2026-05-15 08:21:00,XAU/USD,BUY,M3,loss,20.00,0.72,-20.00,0.76,Manual — own analysis
2026-05-15 10:24:00,2026-05-15 10:25:00,EUR/JPY,SELL,M1,win,20.00,0.78,15.60,0.69,AlphaPips Room
2026-05-15 11:05:00,2026-05-15 11:10:00,GBP/USD OTC,SELL,M5,win,10.00,0.87,8.70,0.75,Manual — own analysis
2026-05-15 12:58:00,2026-05-15 13:58:00,GBP/JPY,BUY,H1,win,25.00,0.74,18.50,0.56,TelegramVIPSignals
2026-05-15 15:41:00,2026-05-15 15:56:00,GBP/USD OTC,BUY,M15,loss,50.00,0.83,-50.00,0.76,TelegramVIPSignals
2026-05-15 18:13:00,2026-05-15 18:18:00,USD/CAD,SELL,M5,win,20.00,0.82,16.40,0.94,QuantEdge Bot
2026-05-15 19:15:00,2026-05-15 19:20:00,GBP/JPY,SELL,M5,loss,10.00,0.76,-10.00,0.57,Daily Binary Club
2026-05-15 19:33:00,2026-05-15 20:03:00,BTC/USD,BUY,M30,win,25.00,0.68,17.00,0.88,Daily Binary Club
2026-05-16 16:08:00,2026-05-16 16:11:00,GBP/USD OTC,SELL,M3,win,10.00,0.86,8.60,0.88,AlphaPips Room
2026-05-17 09:23:00,2026-05-17 09:28:00,AUD/USD,SELL,M5,loss,20.00,0.81,-20.00,0.85,TelegramVIPSignals
2026-05-17 09:38:00,2026-05-17 09:43:00,EUR/JPY,SELL,M5,loss,50.00,0.78,-50.00,0.67,Daily Binary Club
2026-05-18 06:38:00,2026-05-18 06:39:00,GBP/USD,BUY,M1,win,5.00,0.80,4.00,0.77,AlphaPips Room
2026-05-18 07:57:00,2026-05-18 08:12:00,XAU/USD,SELL,M15,win,20.00,0.76,15.20,0.89,Manual — own analysis
2026-05-18 09:02:00,2026-05-18 09:17:00,GBP/JPY,SELL,M15,win,5.00,0.77,3.85,0.73,QuantEdge Bot
2026-05-18 10:24:00,2026-05-18 10:25:00,EUR/USD,SELL,M1,loss,10.00,0.81,-10.00,0.79,AlphaPips Room
2026-05-18 13:08:00,2026-05-18 13:13:00,GBP/USD,SELL,M5,win,25.00,0.80,20.00,0.79,Manual — own analysis
2026-05-18 13:24:00,2026-05-18 13:54:00,EUR/USD,SELL,M30,win,50.00,0.80,40.00,0.65,QuantEdge Bot
2026-05-18 16:24:00,2026-05-18 16:25:00,EUR/JPY,SELL,M1,win,10.00,0.81,8.10,0.72,AlphaPips Room
2026-05-19 07:08:00,2026-05-19 07:11:00,GBP/USD,SELL,M3,win,10.00,0.83,8.30,0.82,Manual — own analysis
2026-05-19 07:29:00,2026-05-19 07:34:00,GBP/USD,SELL,M5,win,25.00,0.80,20.00,0.81,QuantEdge Bot
2026-05-19 12:25:00,2026-05-19 12:28:00,GBP/USD OTC,BUY,M3,loss,10.00,0.87,-10.00,0.92,QuantEdge Bot
2026-05-19 12:33:00,2026-05-19 12:38:00,EUR/USD,SELL,M5,win,50.00,0.82,41.00,0.68,Daily Binary Club
2026-05-19 18:53:00,2026-05-19 18:54:00,USD/JPY,BUY,M1,win,50.00,0.81,40.50,0.58,QuantEdge Bot
2026-05-19 19:43:00,2026-05-19 19:58:00,EUR/USD OTC,BUY,M15,win,50.00,0.82,41.00,0.61,QuantEdge Bot
2026-05-20 06:57:00,2026-05-20 07:02:00,XAU/USD,BUY,M5,win,10.00,0.74,7.40,0.83,Daily Binary Club
2026-05-20 06:58:00,2026-05-20 06:59:00,EUR/JPY,BUY,M1,win,25.00,0.80,20.00,0.94,AlphaPips Room
2026-05-20 07:48:00,2026-05-20 07:51:00,BTC/USD,BUY,M3,draw,25.00,0.70,0.00,0.94,Daily Binary Club
2026-05-20 08:02:00,2026-05-20 08:17:00,GBP/JPY,BUY,M15,win,10.00,0.75,7.50,0.89,AlphaPips Room
2026-05-20 08:50:00,2026-05-20 08:53:00,EUR/USD,BUY,M3,loss,20.00,0.81,-20.00,0.65,Manual — own analysis
2026-05-20 09:45:00,2026-05-20 09:46:00,GBP/USD,SELL,M1,loss,20.00,0.82,-20.00,0.94,Daily Binary Club
2026-05-20 12:41:00,2026-05-20 12:44:00,EUR/JPY,SELL,M3,loss,5.00,0.81,-5.00,0.75,Daily Binary Club
2026-05-20 13:23:00,2026-05-20 13:26:00,USD/CAD,BUY,M3,loss,5.00,0.80,-5.00,0.59,TelegramVIPSignals
2026-05-20 14:26:00,2026-05-20 14:29:00,EUR/USD OTC,BUY,M3,loss,20.00,0.86,-20.00,0.60,QuantEdge Bot
2026-05-20 15:04:00,2026-05-20 15:05:00,EUR/USD,SELL,M1,win,25.00,0.83,20.75,0.77,Daily Binary Club
2026-05-20 16:06:00,2026-05-20 16:11:00,USD/JPY,SELL,M5,loss,10.00,0.80,-10.00,0.59,AlphaPips Room
2026-05-20 19:08:00,2026-05-20 19:11:00,EUR/USD,SELL,M3,win,25.00,0.84,21.00,0.70,QuantEdge Bot
2026-05-21 07:58:00,2026-05-21 07:59:00,USD/JPY,BUY,M1,win,50.00,0.82,41.00,0.71,AlphaPips Room
2026-05-21 10:03:00,2026-05-21 10:04:00,EUR/JPY,SELL,M1,loss,10.00,0.80,-10.00,0.85,Daily Binary Club
2026-05-21 10:09:00,2026-05-21 10:14:00,EUR/USD,SELL,M5,win,20.00,0.79,15.80,0.94,QuantEdge Bot
2026-05-21 11:36:00,2026-05-21 11:37:00,USD/JPY,SELL,M1,loss,50.00,0.82,-50.00,0.61,QuantEdge Bot
2026-05-21 13:09:00,2026-05-21 13:14:00,BTC/USD,SELL,M5,win,50.00,0.70,35.00,0.94,QuantEdge Bot
2026-05-21 13:52:00,2026-05-21 13:57:00,EUR/USD OTC,BUY,M5,win,10.00,0.85,8.50,0.66,QuantEdge Bot
2026-05-21 14:50:00,2026-05-21 14:55:00,EUR/USD,BUY,M5,win,25.00,0.84,21.00,0.60,Manual — own analysis
2026-05-21 15:04:00,2026-05-21 15:07:00,EUR/JPY,BUY,M3,loss,10.00,0.78,-10.00,0.93,Daily Binary Club
2026-05-21 15:28:00,2026-05-21 15:33:00,GBP/USD OTC,BUY,M5,loss,50.00,0.87,-50.00,0.57,AlphaPips Room
2026-05-21 16:45:00,2026-05-21 17:45:00,XAU/USD,BUY,H1,loss,5.00,0.76,-5.00,0.55,AlphaPips Room
2026-05-21 17:25:00,2026-05-21 17:40:00,AUD/USD,SELL,M15,win,20.00,0.78,15.60,0.69,Daily Binary Club
2026-05-21 17:37:00,2026-05-21 17:40:00,GBP/USD OTC,BUY,M3,win,10.00,0.83,8.30,0.84,AlphaPips Room
2026-05-22 06:17:00,2026-05-22 06:22:00,EUR/JPY,BUY,M5,loss,5.00,0.81,-5.00,0.81,Daily Binary Club
2026-05-22 08:10:00,2026-05-22 08:15:00,AUD/USD,SELL,M5,win,25.00,0.76,19.00,0.70,AlphaPips Room
2026-05-22 08:31:00,2026-05-22 08:32:00,EUR/USD OTC,SELL,M1,loss,10.00,0.86,-10.00,0.84,Manual — own analysis
2026-05-22 09:17:00,2026-05-22 09:22:00,AUD/USD,BUY,M5,win,10.00,0.75,7.50,0.78,Manual — own analysis
2026-05-22 10:07:00,2026-05-22 10:10:00,GBP/USD,SELL,M3,win,10.00,0.82,8.20,0.84,AlphaPips Room
2026-05-22 11:31:00,2026-05-22 11:46:00,EUR/JPY,SELL,M15,loss,10.00,0.79,-10.00,0.72,Daily Binary Club
2026-05-22 12:59:00,2026-05-22 13:02:00,GBP/JPY,SELL,M3,loss,10.00,0.75,-10.00,0.81,Manual — own analysis
2026-05-22 15:52:00,2026-05-22 15:57:00,EUR/USD,SELL,M5,win,5.00,0.84,4.20,0.65,QuantEdge Bot
2026-05-22 17:32:00,2026-05-22 17:47:00,GBP/JPY,SELL,M15,draw,20.00,0.80,0.00,0.66,QuantEdge Bot
