timestamp,channel,author,message
2026-07-07 06:34:55,vip-room,NightOwlFX,"after that last one, overbought rsi on GBP/JPY, expecting a drop sticking to my plan."
2026-07-07 06:49:25,vip-room,tomas,"not sure but waiting for the news at 13:30 before touching GBP/JPY"
2026-07-07 07:13:00,vip-room,mo_analytics,"just checked and red across the board, GBP/JPY dumping 📉 small size though."
2026-07-07 07:26:17,eurusd-desk,marcus_fx,"looking at the 15m and that was a clean win on USD/JPY, +54.13 🚀"
2026-07-07 07:38:19,eurusd-desk,PipHunter,"quick one — GBP/USD holding the trendline nicely, call on H1 expiry might be wrong on this one."
2026-07-07 09:19:35,eurusd-desk,marcus_fx,"morning all, green candles stacking on BTC/USD, momentum is up 📈"
2026-07-07 09:53:49,eurusd-desk,dana_r,"fwiw breakdown below support on GBP/USD, going short"
2026-07-07 10:27:53,eurusd-desk,signals_vip_x,"💰💰💰💰💰💰💰💰"
2026-07-07 11:59:48,signals-general,kenji,"after that last one, rsi oversold on GBP/USD, expecting a reversal up small size though."
2026-07-07 12:22:33,signals-general,sarah_k,"hmm anyone else watching EUR/USD today? might be wrong on this one."
2026-07-07 12:29:21,eurusd-desk,PipHunter,"fwiw XAU/USD looks weak here, sell"
2026-07-07 12:38:16,eurusd-desk,NightOwlFX,"morning all, green candles stacking on EUR/USD OTC, momentum is up 📈 thoughts?"
2026-07-07 12:51:59,vip-room,mo_analytics,"what timeframe are you all using for EUR/JPY? could be a fakeout, watching."
2026-07-07 13:56:44,eurusd-desk,marcus_fx,"ok so green candles stacking on USD/JPY, momentum is up 📈"
2026-07-07 14:59:12,vip-room,kenji,"ok so EUR/USD OTC holding the trendline nicely, call on M1 expiry"
2026-07-07 15:03:05,signals-general,mo_analytics,"right, took a loss on USD/JPY, -43.84. bad entry on my part anyone agree?"
2026-07-07 15:25:30,vip-room,signals_vip_x,"sign up bonus with my link — double your money in a week, use promo code WIN2X"
2026-07-07 16:07:25,signals-general,NightOwlFX,"not sure but golden cross forming on USD/CAD 4h, long bias"
2026-07-07 17:06:09,signals-general,elena.trades,"morning all, market's quiet, EUR/USD barely moving"
2026-07-07 17:15:19,eurusd-desk,marcus_fx,"morning all, EUR/USD OTC looking strong above support, taking a call on the M3 small size though."
2026-07-07 17:26:28,signals-general,NightOwlFX,"not sure but EUR/USD OTC downtrend intact, not buying this dip thoughts?"
2026-07-07 17:35:07,signals-general,signals_vip_x,"GUARANTEED 100% WIN RATE SUBSCRIBE NOW discord.gg/notreal"
2026-07-07 17:42:09,vip-room,NightOwlFX,"took a loss on GBP/USD OTC, -39.58. bad entry on my part could be a fakeout, watching."
2026-07-07 17:52:35,vip-room,marcus_fx,"USD/JPY ranging, sitting this one out third time this week."
2026-07-07 18:23:10,signals-general,NightOwlFX,"looking at the 15m and clean breakout on AUD/USD, buying this one could be a fakeout, watching."
2026-07-07 21:41:10,eurusd-desk,tomas,"honestly USD/CAD bounced off the demand zone — bullish for me will post the result after."
2026-07-07 22:38:24,signals-general,quiet_quant,"ok so anyone else watching EUR/USD OTC today? chart's in the other channel."
2026-07-08 06:15:32,vip-room,quiet_quant,"hmm GBP/USD OTC rejected at resistance, putting on the M5 sticking to my plan."
2026-07-08 10:55:53,vip-room,kenji,"hmm EUR/USD rejected at resistance, putting on the M5 same setup as yesterday."
2026-07-08 11:35:47,signals-general,PipHunter,"not sure but green candles stacking on AUD/USD, momentum is up 📈 could be a fakeout, watching."
2026-07-08 12:16:30,vip-room,quiet_quant,"clean breakout on GBP/JPY, buying this one will post the result after."
2026-07-08 12:55:13,eurusd-desk,kenji,"back at the desk. XAU/USD holding the trendline nicely, call on M3 expiry could be a fakeout, watching."
2026-07-08 13:04:31,signals-general,marcus_fx,"morning all, rsi oversold on EUR/USD, expecting a reversal up could be a fakeout, watching."
2026-07-08 13:16:56,signals-general,marcus_fx,"fwiw golden cross forming on USD/JPY 4h, long bias might be wrong on this one."
2026-07-08 13:22:07,eurusd-desk,kenji,"quick one — breakdown below support on EUR/USD, going short thoughts?"
2026-07-08 14:30:36,eurusd-desk,elena.trades,"just checked and rsi oversold on EUR/USD, expecting a reversal up thoughts?"
2026-07-08 16:36:16,signals-general,NightOwlFX,"just checked and red across the board, AUD/USD dumping 📉 could be a fakeout, watching."
2026-07-08 16:56:52,vip-room,elena.trades,"ok so GBP/USD OTC looking strong above support, taking a call on the H1 thoughts?"
2026-07-08 17:14:40,vip-room,dana_r,"back at the desk. clean breakout on EUR/USD, buying this one third time this week."
2026-07-08 17:31:43,signals-general,NightOwlFX,"GBP/USD OTC bounced off the demand zone — bullish for me"
2026-07-08 17:54:58,vip-room,PipHunter,"EUR/USD OTC looking strong above support, taking a call on the M30 let's see how it plays out."
2026-07-08 17:58:42,vip-room,elena.trades,"ok so what timeframe are you all using for GBP/USD? not touching it until the close."
2026-07-08 18:35:39,signals-general,sarah_k,"back at the desk. EUR/USD OTC looks weak here, sell could be a fakeout, watching."
2026-07-08 19:01:23,vip-room,sarah_k,"not sure but rsi oversold on GBP/USD OTC, expecting a reversal up"
2026-07-08 20:08:13,signals-general,PipHunter,"USD/CAD downtrend intact, not buying this dip anyone agree?"
2026-07-08 21:09:12,signals-general,marcus_fx,"GBP/JPY holding the trendline nicely, call on M3 expiry thoughts?"
2026-07-08 22:17:16,signals-general,sarah_k,"back at the desk. rsi oversold on GBP/USD, expecting a reversal up same setup as yesterday."
2026-07-08 22:51:55,eurusd-desk,elena.trades,"how do you handle EUR/USD during rollover? not touching it until the close."
2026-07-09 05:58:51,signals-general,PipHunter,"honestly EUR/USD OTC bounced off the demand zone — bullish for me could be a fakeout, watching."
2026-07-09 07:55:41,vip-room,marcus_fx,"that was a clean win on USD/JPY, +59.38 🚀 thoughts?"
2026-07-09 08:08:18,vip-room,elena.trades,"fwiw GBP/USD looks weak here, sell chart's in the other channel."
2026-07-09 09:38:44,vip-room,NightOwlFX,"looking at the 15m and golden cross forming on USD/JPY 4h, long bias"
2026-07-09 09:52:14,signals-general,sarah_k,"hmm GBP/USD holding the trendline nicely, call on M30 expiry third time this week."
2026-07-09 10:35:28,signals-general,dana_r,"morning all, what timeframe are you all using for BTC/USD? third time this week."
2026-07-09 10:37:03,eurusd-desk,dana_r,"morning all, green candles stacking on EUR/USD, momentum is up 📈 anyone agree?"
2026-07-09 12:11:09,signals-general,promo_bot,"join my vip signal channel, risk-free trading, inbox me now"
2026-07-09 12:44:59,signals-general,sarah_k,"just checked and green candles stacking on BTC/USD, momentum is up 📈 thoughts?"
2026-07-09 14:08:17,signals-general,marcus_fx,"USD/CAD holding the trendline nicely, call on M3 expiry thoughts?"
2026-07-09 14:22:15,vip-room,mo_analytics,"EUR/JPY holding the trendline nicely, call on M30 expiry will post the result after."
2026-07-09 16:26:31,signals-general,quiet_quant,"right, that was a clean win on USD/CAD, +58.21 🚀 let's see how it plays out."
2026-07-09 16:40:39,vip-room,kenji,"green candles stacking on USD/JPY, momentum is up 📈 will post the result after."
2026-07-09 16:40:59,signals-general,tomas,"back at the desk. green candles stacking on USD/JPY, momentum is up 📈 will post the result after."
2026-07-09 16:58:26,eurusd-desk,NightOwlFX,"not sure but AUD/USD bounced off the demand zone — bullish for me could be a fakeout, watching."
2026-07-09 17:10:07,signals-general,dana_r,"morning all, green candles stacking on GBP/USD, momentum is up 📈 might be wrong on this one."
2026-07-09 17:25:08,signals-general,PipHunter,"red across the board, USD/JPY dumping 📉 sticking to my plan."
2026-07-09 17:26:45,vip-room,marcus_fx,"after that last one, AUD/USD looking strong above support, taking a call on the M30"
2026-07-09 17:41:09,eurusd-desk,kenji,"right, EUR/USD rejected at resistance, putting on the H1 same setup as yesterday."
2026-07-09 18:41:14,vip-room,quiet_quant,"right, breakdown below support on GBP/JPY, going short could be a fakeout, watching."
2026-07-09 19:33:28,signals-general,signals_vip_x,"sign up bonus with my link — double your money in a week, use promo code WIN2X"
2026-07-09 20:04:04,signals-general,kenji,"just checked and XAU/USD bounced off the demand zone — bullish for me let's see how it plays out."
2026-07-09 20:22:05,vip-room,sarah_k,"back at the desk. rsi oversold on EUR/USD, expecting a reversal up thoughts?"
2026-07-09 21:39:31,eurusd-desk,PipHunter,"hmm that was a clean win on GBP/USD OTC, +36.42 🚀 will post the result after."
2026-07-09 21:53:16,signals-general,sarah_k,"fwiw EUR/USD OTC holding the trendline nicely, call on M3 expiry anyone agree?"
2026-07-09 22:14:12,signals-general,elena.trades,"looking at the 15m and took a loss on USD/CAD, -30.94. bad entry on my part let's see how it plays out."
2026-07-09 22:56:02,signals-general,kenji,"clean breakout on EUR/USD, buying this one"
2026-07-10 05:29:08,eurusd-desk,mo_analytics,"not sure but EUR/JPY looking strong above support, taking a call on the H1"
2026-07-10 05:56:09,eurusd-desk,tomas,"looking at the 15m and that was a clean win on AUD/USD, +34.51 🚀 same setup as yesterday."
2026-07-10 06:56:56,eurusd-desk,mo_analytics,"GBP/USD looking strong above support, taking a call on the M30 not touching it until the close."
2026-07-10 08:14:29,signals-general,kenji,"right, golden cross forming on EUR/USD 4h, long bias thoughts?"
2026-07-10 09:13:08,signals-general,tomas,"hmm USD/JPY looks weak here, sell could be a fakeout, watching."
2026-07-10 09:16:18,signals-general,kenji,"ok so death cross on EUR/USD, bearish for the session could be a fakeout, watching."
2026-07-10 12:04:15,eurusd-desk,tomas,"ok so took a loss on EUR/USD OTC, -49.39. bad entry on my part sticking to my plan."
2026-07-10 15:01:00,eurusd-desk,marcus_fx,"hmm EUR/JPY rejected at resistance, putting on the M5"
2026-07-10 15:11:31,eurusd-desk,mo_analytics,"morning all, GBP/JPY downtrend intact, not buying this dip could be a fakeout, watching."
2026-07-10 16:22:23,vip-room,kenji,"hmm clean breakout on EUR/USD, buying this one third time this week."
2026-07-10 16:27:57,vip-room,marcus_fx,"USD/CAD looking strong above support, taking a call on the M3 same setup as yesterday."
2026-07-10 17:29:17,vip-room,elena.trades,"honestly EUR/USD downtrend intact, not buying this dip"
2026-07-10 17:39:28,eurusd-desk,PipHunter,"morning all, GBP/USD holding the trendline nicely, call on M30 expiry let's see how it plays out."
2026-07-10 18:01:02,signals-general,dana_r,"red across the board, AUD/USD dumping 📉 sticking to my plan."
2026-07-10 18:35:19,signals-general,dana_r,"morning all, GBP/USD holding the trendline nicely, call on M5 expiry will post the result after."
2026-07-10 18:37:33,vip-room,signals_vip_x,"🚀🚀🚀 JOIN MY VIP GROUP 100% ACCURACY GUARANTEED 🚀🚀🚀 t.me/fakevipsignals"
2026-07-10 19:17:06,signals-general,dana_r,"red across the board, AUD/USD dumping 📉 will post the result after."
2026-07-10 19:19:46,vip-room,quiet_quant,"not sure but EUR/USD holding the trendline nicely, call on M15 expiry chart's in the other channel."
2026-07-10 20:29:24,signals-general,mo_analytics,"hmm USD/CAD holding the trendline nicely, call on M1 expiry might be wrong on this one."
2026-07-11 09:27:13,vip-room,signals_vip_x,"DM me and I can manage your account, guaranteed profit no loss"
2026-07-11 15:43:14,eurusd-desk,marcus_fx,"fwiw overbought rsi on GBP/USD OTC, expecting a drop might be wrong on this one."
2026-07-11 16:44:45,signals-general,quiet_quant,"morning all, overbought rsi on USD/JPY, expecting a drop"
2026-07-12 07:01:48,eurusd-desk,dana_r,"honestly breakdown below support on EUR/JPY, going short same setup as yesterday."
2026-07-12 09:22:29,eurusd-desk,sarah_k,"back at the desk. clean breakout on EUR/USD, buying this one might be wrong on this one."
2026-07-12 15:06:36,signals-general,PipHunter,"back at the desk. EUR/USD OTC looking strong above support, taking a call on the M1"
2026-07-12 16:18:06,eurusd-desk,kenji,"not sure but overbought rsi on EUR/USD OTC, expecting a drop not touching it until the close."
2026-07-12 19:27:09,eurusd-desk,kenji,"honestly USD/CAD holding the trendline nicely, call on M3 expiry anyone agree?"
2026-07-12 20:24:11,eurusd-desk,NightOwlFX,"looking at the 15m and overbought rsi on BTC/USD, expecting a drop will post the result after."
2026-07-12 22:38:38,signals-general,tomas,"green candles stacking on AUD/USD, momentum is up 📈 chart's in the other channel."
2026-07-13 05:47:33,eurusd-desk,signals_vip_x,"sign up bonus with my link — double your money in a week, use promo code WIN2X"
2026-07-13 06:34:12,vip-room,PipHunter,"green candles stacking on EUR/JPY, momentum is up 📈 anyone agree?"
2026-07-13 06:36:04,vip-room,mo_analytics,"right, AUD/USD holding the trendline nicely, call on M15 expiry same setup as yesterday."
2026-07-13 07:06:05,signals-general,NightOwlFX,"does anyone have data on EUR/USD otc payouts? small size though."
2026-07-13 07:36:34,signals-general,mo_analytics,"morning all, that was a clean win on BTC/USD, +34.31 🚀 third time this week."
2026-07-13 07:38:33,vip-room,kenji,"quick one — that was a clean win on USD/CAD, +26.38 🚀 sticking to my plan."
2026-07-13 07:59:59,vip-room,PipHunter,"morning all, overbought rsi on EUR/USD, expecting a drop"
2026-07-13 08:20:04,signals-general,tomas,"back at the desk. green candles stacking on EUR/USD, momentum is up 📈 chart's in the other channel."
2026-07-13 09:08:22,signals-general,mo_analytics,"honestly what timeframe are you all using for GBP/USD? third time this week."
2026-07-13 09:22:15,signals-general,PipHunter,"morning all, does anyone have data on EUR/JPY otc payouts? small size though."
2026-07-13 09:26:17,signals-general,PipHunter,"quick one — rsi oversold on EUR/USD, expecting a reversal up not touching it until the close."
2026-07-13 10:03:54,vip-room,NightOwlFX,"back at the desk. sideways chop on AUD/USD, no clean setup"
2026-07-13 10:22:47,signals-general,mo_analytics,"ok so how do you handle GBP/USD during rollover? let's see how it plays out."
2026-07-13 10:40:48,vip-room,PipHunter,"rsi oversold on GBP/USD OTC, expecting a reversal up will post the result after."
2026-07-13 12:04:26,eurusd-desk,tomas,"just checked and death cross on GBP/USD, bearish for the session same setup as yesterday."
2026-07-13 12:16:44,vip-room,dana_r,"back at the desk. took a loss on EUR/USD, -52.59. bad entry on my part not touching it until the close."
2026-07-13 14:21:38,signals-general,tomas,"not sure but clean breakout on USD/JPY, buying this one will post the result after."
2026-07-13 15:47:22,signals-general,sarah_k,"rsi oversold on GBP/JPY, expecting a reversal up anyone agree?"
2026-07-13 16:06:31,eurusd-desk,quiet_quant,"after that last one, USD/JPY looking strong above support, taking a call on the M1"
2026-07-13 17:00:11,vip-room,kenji,"fwiw that was a clean win on USD/JPY, +42.87 🚀 thoughts?"
2026-07-13 17:15:39,signals-general,PipHunter,"ok so waiting for the news at 13:30 before touching BTC/USD sticking to my plan."
2026-07-13 18:06:31,eurusd-desk,mo_analytics,"looking at the 15m and death cross on GBP/USD, bearish for the session"
2026-07-13 18:54:15,vip-room,sarah_k,"ok so EUR/USD rejected at resistance, putting on the M30 could be a fakeout, watching."
2026-07-13 22:28:37,vip-room,tomas,"honestly that was a clean win on EUR/USD OTC, +37.82 🚀 thoughts?"
2026-07-13 22:42:06,eurusd-desk,sarah_k,"quick one — GBP/USD OTC looking strong above support, taking a call on the M5 anyone agree?"
2026-07-14 06:07:59,vip-room,marcus_fx,"not sure but does anyone have data on GBP/USD OTC otc payouts? anyone agree?"
2026-07-14 06:51:27,eurusd-desk,mo_analytics,"red across the board, GBP/USD OTC dumping 📉 anyone agree?"
2026-07-14 07:46:08,vip-room,tomas,"fwiw took a loss on EUR/USD OTC, -48.70. bad entry on my part third time this week."
2026-07-14 08:10:59,eurusd-desk,elena.trades,"morning all, EUR/JPY looks weak here, sell not touching it until the close."
2026-07-14 09:07:26,signals-general,sarah_k,"AUD/USD downtrend intact, not buying this dip sticking to my plan."
2026-07-14 10:12:08,signals-general,marcus_fx,"ok so EUR/USD OTC looks weak here, sell"
2026-07-14 10:47:25,eurusd-desk,mo_analytics,"looking at the 15m and rsi oversold on USD/JPY, expecting a reversal up"
2026-07-14 11:36:21,signals-general,sarah_k,"just checked and red across the board, BTC/USD dumping 📉 small size though."
2026-07-14 11:36:48,eurusd-desk,NightOwlFX,"overbought rsi on GBP/USD, expecting a drop thoughts?"
2026-07-14 12:56:22,vip-room,quiet_quant,"just checked and anyone else watching EUR/USD OTC today? might be wrong on this one."
2026-07-14 14:52:26,vip-room,marcus_fx,"morning all, GBP/USD downtrend intact, not buying this dip chart's in the other channel."
2026-07-14 15:04:20,signals-general,NightOwlFX,"morning all, that was a clean win on GBP/USD, +17.58 🚀 third time this week."
2026-07-14 15:36:04,signals-general,signals_vip_x,"join my vip signal channel, risk-free trading, inbox me now"
2026-07-14 16:13:18,vip-room,kenji,"honestly how do you handle EUR/USD during rollover? small size though."
